state,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"
MA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,17.0,16.0,18.0,48.0,53.0,43.0,40.0,43.0,21.0,25.0,20.0,23.0,5.0,10.0
AL,35.0,26.0,41.0,67.0,87.0,130.0,65.0,51.0,64.0,30.0,62.0,62.0,21.0,66.0
AMERICAN SAMOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AR,28.0,49.0,45.0,58.0,56.0,35.0,43.0,42.0,49.0,40.0,72.0,93.0,46.0,47.0
AZ,161.0,122.0,163.0,212.0,235.0,301.0,284.0,240.0,208.0,92.0,232.0,226.0,130.0,125.0
BC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,647.0,605.0,626.0,758.0,729.0,869.0,816.0,580.0,598.0,331.0,515.0,627.0,337.0,366.0
CO,90.0,72.0,122.0,119.0,146.0,200.0,165.0,201.0,162.0,112.0,131.0,226.0,125.0,100.0
CORNWALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CT,69.0,66.0,80.0,156.0,141.0,97.0,85.0,75.0,84.0,110.0,126.0,130.0,76.0,60.0
DC,8.0,11.0,8.0,11.0,2.0,7.0,3.0,5.0,2.0,3.0,1.0,1.0,3.0,4.0
DE,9.0,14.0,15.0,32.0,12.0,37.0,30.0,20.0,22.0,8.0,16.0,27.0,9.0,20.0
FL,254.0,221.0,339.0,459.0,543.0,644.0,475.0,365.0,335.0,228.0,414.0,405.0,221.0,288.0
GA,84.0,81.0,94.0,126.0,143.0,226.0,139.0,123.0,122.0,74.0,161.0,130.0,79.0,73.0
HI,19.0,30.0,21.0,36.0,53.0,70.0,27.0,29.0,15.0,12.0,49.0,46.0,9.0,17.0
IA,42.0,50.0,45.0,101.0,81.0,69.0,48.0,41.0,45.0,33.0,44.0,73.0,23.0,26.0
ID,24.0,32.0,44.0,57.0,103.0,89.0,98.0,75.0,50.0,46.0,106.0,128.0,56.0,45.0
IL,140.0,209.0,219.0,271.0,173.0,173.0,182.0,156.0,93.0,104.0,167.0,170.0,73.0,86.0
IN,77.0,98.0,96.0,146.0,146.0,157.0,82.0,86.0,57.0,92.0,184.0,196.0,88.0,83.0
KS,44.0,51.0,43.0,60.0,55.0,70.0,47.0,49.0,51.0,31.0,42.0,72.0,24.0,28.0
KY,61.0,53.0,85.0,65.0,98.0,92.0,72.0,54.0,66.0,47.0,75.0,89.0,45.0,51.0
LA,56.0,29.0,33.0,48.0,51.0,111.0,61.0,48.0,33.0,26.0,46.0,43.0,21.0,29.0
M0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MA,79.0,107.0,106.0,162.0,196.0,201.0,147.0,116.0,100.0,70.0,117.0,140.0,70.0,87.0
MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MD,43.0,50.0,74.0,111.0,115.0,148.0,114.0,98.0,94.0,54.0,71.0,83.0,41.0,51.0
ME,42.0,29.0,42.0,103.0,82.0,52.0,58.0,70.0,36.0,27.0,56.0,76.0,32.0,37.0
MI,125.0,124.0,161.0,236.0,189.0,184.0,188.0,136.0,134.0,62.0,136.0,180.0,61.0,85.0
MN,64.0,60.0,82.0,145.0,126.0,104.0,152.0,85.0,83.0,52.0,127.0,120.0,46.0,59.0
MO,91.0,118.0,140.0,177.0,112.0,146.0,101.0,112.0,112.0,62.0,126.0,131.0,78.0,79.0
MS,29.0,20.0,23.0,45.0,39.0,44.0,41.0,32.0,25.0,24.0,33.0,27.0,16.0,20.0
MT,32.0,32.0,49.0,74.0,52.0,56.0,60.0,49.0,50.0,31.0,61.0,56.0,6.0,28.0
NB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,125.0,133.0,195.0,249.0,199.0,282.0,187.0,219.0,146.0,109.0,163.0,137.0,98.0,120.0
ND,9.0,5.0,12.0,12.0,7.0,11.0,11.0,12.0,9.0,8.0,18.0,25.0,9.0,3.0
NE,26.0,38.0,27.0,47.0,29.0,26.0,23.0,16.0,25.0,21.0,31.0,34.0,14.0,13.0
NH,26.0,26.0,33.0,80.0,66.0,96.0,87.0,53.0,53.0,37.0,78.0,88.0,29.0,37.0
NJ,119.0,93.0,92.0,159.0,167.0,167.0,130.0,130.0,121.0,58.0,193.0,144.0,76.0,84.0
NM,51.0,38.0,35.0,72.0,88.0,110.0,78.0,78.0,83.0,60.0,89.0,82.0,48.0,46.0
NS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NV,48.0,50.0,53.0,86.0,53.0,98.0,112.0,64.0,58.0,58.0,69.0,94.0,34.0,37.0
NY,206.0,180.0,251.0,384.0,261.0,332.0,301.0,219.0,187.0,117.0,193.0,292.0,194.0,181.0
OH,132.0,132.0,156.0,273.0,363.0,279.0,215.0,157.0,151.0,106.0,212.0,244.0,104.0,131.0
OK,41.0,36.0,56.0,96.0,81.0,94.0,73.0,45.0,51.0,44.0,67.0,92.0,33.0,46.0
ON,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
OR,80.0,85.0,116.0,181.0,189.0,228.0,215.0,168.0,127.0,100.0,133.0,238.0,94.0,85.0
PA,166.0,171.0,188.0,297.0,307.0,382.0,245.0,203.0,179.0,95.0,236.0,317.0,139.0,182.0
QUINTANA ROO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RI,17.0,20.0,20.0,50.0,37.0,38.0,49.0,33.0,29.0,19.0,33.0,27.0,15.0,15.0
SC,68.0,70.0,117.0,186.0,159.0,260.0,109.0,97.0,110.0,78.0,115.0,118.0,42.0,61.0
SD,13.0,14.0,17.0,27.0,20.0,21.0,17.0,23.0,18.0,11.0,15.0,16.0,7.0,20.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SOUTH CAROLINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TN,72.0,71.0,100.0,128.0,125.0,150.0,110.0,114.0,94.0,49.0,130.0,106.0,51.0,77.0
TX,266.0,228.0,268.0,267.0,248.0,309.0,186.0,159.0,127.0,93.0,241.0,303.0,139.0,155.0
UNITED STATES VIRGIN ISLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UT,36.0,41.0,57.0,112.0,94.0,79.0,78.0,92.0,72.0,60.0,81.0,108.0,34.0,36.0
VA,82.0,77.0,100.0,150.0,205.0,185.0,151.0,120.0,104.0,74.0,196.0,107.0,62.0,70.0
VT,23.0,13.0,23.0,57.0,66.0,38.0,47.0,23.0,20.0,22.0,22.0,35.0,16.0,21.0
WA,234.0,276.0,304.0,428.0,321.0,374.0,275.0,229.0,208.0,174.0,241.0,374.0,193.0,155.0
WI,63.0,65.0,114.0,157.0,179.0,147.0,131.0,121.0,88.0,42.0,136.0,138.0,37.0,66.0
WV,39.0,21.0,30.0,63.0,58.0,63.0,55.0,32.0,23.0,15.0,40.0,48.0,18.0,28.0
WY,5.0,13.0,21.0,14.0,18.0,21.0,20.0,16.0,19.0,15.0,21.0,27.0,4.0,14.0
