date,gross
2012-05-04,80813985
2012-05-05,69557990
2012-05-06,57066733
2012-05-07,18898999
2012-05-08,17677190
2012-05-09,13612910
2012-05-10,12391566
2012-05-11,29223517
2012-05-12,42905519
2012-05-13,30923238
2012-05-14,7923789
2012-05-15,8477854
2012-05-16,6339757
2012-05-17,6208368
2012-05-18,15236046
2012-05-19,23587069
2012-05-20,16820987
2012-05-21,5687934
2012-05-22,4917764
2012-05-23,3968406
2012-05-24,4445167
2012-05-25,9664323
2012-05-26,14066384
2012-05-27,12956164
2012-05-28,10535543
2012-05-29,3266753
2012-05-30,2515041
2012-05-31,2774984
2012-06-01,5641642
2012-06-02,9017913
2012-06-03,5826863
2012-06-04,2042375
2012-06-05,2221713
2012-06-06,1862060
2012-06-07,1974179
2012-06-08,3336924
2012-06-09,4546865
2012-06-10,3365949
2012-06-11,1385505
2012-06-12,1547796
2012-06-13,1349418
2012-06-14,1305722
2012-06-15,2206155
2012-06-16,3292985
2012-06-17,3406327
2012-06-18,1133339
2012-06-19,1163906
2012-06-20,1101648
2012-06-21,1054517
2012-06-22,2212406
2012-06-23,3041789
2012-06-24,1923466
2012-06-25,962092
2012-06-26,989546
2012-06-27,838655
2012-06-28,867338
2012-06-29,1305521
2012-06-30,1816647
2012-07-01,1299503
2012-07-02,714777
2012-07-03,544755
2012-07-04,718276
2012-07-05,477208
2012-07-06,680818
2012-07-07,918223
2012-07-08,569083
2012-07-09,261442
2012-07-10,311771
2012-07-11,272336
2012-07-12,288299
2012-07-13,395434
2012-07-14,587183
2012-07-15,416137
2012-07-16,188724
2012-07-17,221405
2012-07-18,194838
2012-07-19,172561
2012-07-20,190088
2012-07-21,254913
2012-07-22,175410
2012-07-23,98364
2012-07-24,123367
2012-07-25,93538
2012-07-26,110157
2012-08-31,383116
2012-09-01,688184
2012-09-02,839401
2012-09-03,563243
2012-09-04,121773
2012-09-05,87197
2012-09-06,95639
2012-09-07,217231
2012-09-08,405843
2012-09-09,163107
2012-09-10,46138
2012-09-11,56594
2012-09-12,51689
2012-09-13,54171
